English,Spanish,idle,inactivo
English,Spanish,dash,guión
English,Spanish,leverage,apalancamiento
English,Spanish,savvy,comprensión
English,Spanish,whelp,cachorro
English,Spanish,emasculate,castrar
English,Spanish,seasoning,condimento
English,Spanish,bugger,sodomita
English,Spanish,gallows,horca
English,Spanish,nigh,cerca
English,Spanish,vex,vejar
English,Spanish,douse,apagar
English,Spanish,foul breath,mal aliento
English,Spanish,betrothed,desposada
English,Spanish,heave,tirón
English,Spanish,weevil,gorgojo
English,Spanish,trifles,bagatelas
English,Spanish,scorching,abrasador
German,English,träumen,dream
German,English,plötzlich,suddenly
German,English,überhaupt,at all
German,English,umwelt,Environment
German,English,ähnlich,similar
German,English,Flecken,stains
German,English,schal,scarf
German,English,lohnt,is worth it
German,English,meinen,mean
German,English,Stück,piece
German,English,beschluß,decision
English,German,jail,Gefängnis
English,German,ingredient,Zutat
English,German,order,Auftrag
English,German,add as a friend,als Freund hinzufügen
German,English,geschaut,looked
German,English,Schwanz,tail
German,English,treiben,to drive
German,English,Schulter,shoulder
German,English,gesamte,entire
German,English,zufällig,coincidentally
German,English,beibringen,teach
German,English,ehr,honest
German,English,erzählen,tell
German,English,schwören,swear
German,English,Schatz,treasure
German,English,dringend,urgently
German,English,beobachten,observe
English,German,borrow,leihen
German,English,überlegen,superior
German,English,Streit,argument
English,German,idiot,Dummkopf
German,English,Trottel,Fool
German,English,Scherz,hoax
German,English,schwierig,difficult
English,German,difference,Unterschied
English,German,crazy,verrückt
English,German,remind,erinnern
English,German,i don't remember,Ich erinnere mich nicht
German,English,geschwindigkeit,speed
German,English,tun,do
German,English,sonders,especially
German,English,arme,poor
German,English,dehnen,stretch
German,English,wohl,well
German,English,dämlich,stupid
German,English,anmachen,turn on
German,English,zwar,indeed
English,German,poet,Dichter
English,German,impress,beeindrucken
German,English,ehemann,husband
German,English,entspannen,relax
German,English,während,while
German,English,aufnehmen,"record, tape"
German,English,wald,forest
English,German,recommend,empfehlen
German,English,vorstellen,imagine
German,English,schritt,step
German,English,erstaunen,astonish
German,English,gekackt,shackled
German,English,schnitt,cut
German,English,haufen,heap
German,English,riesen,Giants
German,English,dennunter,for example
German,English,fehlen,absence
German,English,fühlen,feel
German,English,peinlich,embarrassing
German,English,übrigens,by the way
English,German,by the way,Apropos
German,English,tierisch,animal
