p_recall,n_id,timestamp,delta,user_id,learning_language,ui_language,word_ll,word_ul,lexeme_string,history_seen,history_correct,session_seen,session_correct,p_pred,mdt_history,mdt_correct,mrt_history,mrt_correct,wdt_history,wdt_correct,wrt_history,wrt_correct,speed,rebag
0.714,190,1743319778,0,pablo,iw,en,מלגה,scholarship,מלגה/מלגה<NOUN>Fem|Sing|,7,5,0,0,,5,5,0,0,2,0,0,0,0.1459,True
0.857,98,1744291702,971924,pablo,iw,en,כונה,intention,כונה/כונה<VERB>Masc|PUAL|Sing|3|Past|Pass|,7,6,0,0,,4,4,0,0,2,2,0,0,0.0835,True
1.0,501,1744182216,862438,pablo,iw,en,מגבת,towel,"מגבת/גיבת<VERB>Fem|PAAL|Sing|1,2,3|Part|Act|",6,6,0,0,,2,2,0,0,4,4,0,0,0.1115,True
0.95,280,1747120372,3800594,pablo,iw,en,להגיע,to arrive,להגיע/הגיע<VERB>HIFIL|Inf|Act|,20,19,0,0,,13,12,0,0,5,5,0,0,0.1518,True
1.0,390,1744122447,802669,pablo,iw,en,ציון,Grade,ציון/ציון<PROPN>,6,6,0,0,,6,6,0,0,0,0,0,0,0.1102,True
1.0,595,1743320567,789,pablo,iw,en,מסך,screen,מסך/מסך<NOUN>Masc|Sing|,5,5,0,0,,3,3,0,0,2,2,0,0,0.1117,True
1.0,511,1749393525,248626,pablo,iw,en,יצור,creature,יצור/יצור<NOUN>Masc|Sing|,5,5,0,0,0.0,0,0,5,5,0,0,0,0,0.1122,True
1.0,335,1749144899,0,pablo,iw,en,מפלצת,monster,מפלצת/מפלצה<NOUN>Fem|Sing|,5,5,0,0,0.0,2,2,0,0,3,3,0,0,0.0734,True
0.714,170,1749393504,248605,pablo,iw,en,משרת,servant,"משרת/שירת<VERB>Masc|PIEL|Sing|1,2,3|Part|Act|",7,5,0,0,0.0,0,0,5,5,2,0,0,0,0.0819,True
1.0,215,1750763813,1618914,pablo,iw,en,קוסם,magician,קוסם/קוסם<NOUN>Masc|Sing|,5,5,0,0,0.0,0,0,5,5,0,0,0,0,0.1016,True
0.833,532,1750862878,1717979,pablo,iw,en,גיבור,a hero,גיבור/גיבור<NOUN>Masc|Sing|,6,5,0,0,0.0,0,0,5,5,1,0,0,0,0.0557,True
0.833,574,1749296891,151992,pablo,iw,en,קסדה,helmet,קסדה/קסדה<NOUN>Fem|Sing|,6,5,0,0,0.0,4,3,2,2,0,0,0,0,0.188,True
0.714,140,1750928226,0,pablo,iw,en,שריון,armor,שריון/שריון<NOUN>Masc|Sing|,7,5,0,0,0.0,0,0,7,5,0,0,0,0,0.1429,True
0.833,519,1750928302,76,pablo,iw,en,כשוף,incantation,"כ/כ<ADP>,caseשוף/שוף<NOUN>Masc|Sing|",6,5,0,0,0.0,0,0,3,3,3,2,0,0,0.1608,True
0.857,127,1750935082,6856,pablo,iw,en,מכשפה,witch,מכשפה/מכשפה<NOUN>Fem|Sing|,7,6,0,0,0.0,0,0,6,5,1,1,0,0,0.1197,True
1.0,203,1750950417,22191,pablo,iw,en,חומה,wall,חומה/חומה<NOUN>Fem|Sing|,5,5,0,0,0.0,0,0,5,5,0,0,0,0,0.1242,True
0.833,415,1750935443,7217,pablo,iw,en,לוחם,fighter,לוחם/לוחם<NOUN>Masc|Sing|,6,5,0,0,0.0,0,0,4,4,2,1,0,0,0.1709,True
1.0,13,1750935448,7222,pablo,iw,en,חץ,arrow,חץ/חץ<NOUN>Masc|Sing|,5,5,0,0,0.0,0,0,5,5,0,0,0,0,0.0434,True
1.0,273,1750958435,725,pablo,iw,en,אביר,knight,אביר/אביר<NOUN>Masc|Sing|,5,5,0,0,0.0,2,2,2,2,1,1,0,0,0.0319,True
0.714,513,1750958428,718,pablo,iw,en,קשת,arch,קשת/קשת<NOUN>Fem|Sing|,7,5,0,0,0.0,1,1,3,3,2,1,1,0,0.1701,True
1.0,396,1750957710,0,pablo,iw,en,ממלכה,kingdom,ממלכה/ממלכה<NOUN>Fem|Sing|,5,5,0,0,0.0,0,0,2,2,2,2,1,1,0.1308,True
0.556,374,1751011689,53979,pablo,iw,en,חרבה,Sword,חרבה/חרבה<NOUN>Fem|Sing|,9,5,0,0,0.0,2,2,3,3,3,0,1,0,0.1468,True
0.833,427,1751013895,56185,pablo,iw,en,אגדה,legend,אגדה/אגדה<NOUN>Fem|Sing|,6,5,0,0,0.0,2,2,1,1,2,1,1,1,0.1798,True
0.833,109,1750958165,455,pablo,iw,en,מגבון,Wipe,מגבון/מגבון<NOUN>Masc|Sing|,6,5,0,0,0.0,1,1,3,3,1,0,1,1,0.0633,True
0.0,234,1746629700,0,pablo,iw,en,צלחית,saucer,צלחית/צלחית<ADV>,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,355,1746629700,0,pablo,iw,en,המלצה,recommendation,"ה/ה<DET>Def|Art|,detמלצה/מלץ<NOUN>Fem|Sing|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,501,1746629700,0,pablo,iw,en,מעריץ,admires,"מעריץ/העריץ<VERB>Masc|HIFIL|Sing|1,2,3|Part|Act|",0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,201,1746629700,0,pablo,iw,en,מפלגה,party,מפלגה/מפלגה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,550,1746629700,0,pablo,iw,en,שביתה,strike,שביתה/שביתה<NOUN>Fem|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
0.0,123,1746629700,0,pablo,iw,en,איום,threat,איום/איום<NOUN>Masc|Sing|,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,False
